predictor,clinical_meaning,inferential_role,row_type,model_analysis_N,model_events,model_non_events,model_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,hypothesis_type,raw_p,bh_q,in_bh_family,fit_status,separation_status,support_status,rarity_support_status,current_compact_ridge_member,historical_lasso_selection_frequency,historical_lasso_sign_consistency,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,adjusted_fit_status
cs_scar_endometriosis,Endometriosis in prior cesarean-section scar,BINARY,source,431.0,61.0,370.0,430.0,4.630102040816327,1.4164714491124828,15.134681974567016,0.01120900705069428,,,binary_coefficient,0.01120900705069428,0.13899168742860907,True,OK,none,OK,REVIEW_REQUIRED,False,0.98,1.0,5.615573411297285,1.6408845161938406,19.218089040669437,0.00597942745330024,OK
deep_endometriosis,Deep infiltrating endometriosis phenotype,BINARY,source,431.0,61.0,370.0,430.0,0.9578244274809167,0.5411476952054896,1.6953368590635347,0.8824084234716103,,,binary_coefficient,0.8824084234716103,0.9118220375873307,True,OK,none,OK,REVIEW_REQUIRED,False,0.28,1.0,0.7379605016917524,0.40351825021607113,1.3495937340269857,0.3238509700872432,OK
derived_endo_surgery_adhesion_status,Documented adhesion status at prior endometriosis surgery,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.7999274889930901,,categorical_omnibus,0.7999274889930901,0.8995775974385339,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,,,,,0.30344850599153933,OK
derived_prior_endo_surgery_procedure_status,Documented procedure status at prior endometriosis surgery,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.04308161847022462,,categorical_omnibus,0.04308161847022462,0.18955683777306506,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,,,,,0.07841231951896321,OK
endo_resection_adhesiolysis,Adhesiolysis performed at prior endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,0.8009522065555756,0.4430645652602637,1.4479253984335285,0.46250531633608616,,,binary_coefficient,0.46250531633608616,0.6993982832399351,True,OK,none,OK,REVIEW_REQUIRED,False,0.24,0.8333333333333334,0.6637199561396327,0.35082234980432997,1.2556901817221648,0.2076534326739442,OK
endo_resection_adnexa,Adnexal endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,0.6,0.07506580162383206,4.795792387644422,0.6300343652085265,,,binary_coefficient,0.6300343652085265,0.8137943883943467,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.14,1.0,0.5518267718362717,0.05129886347535462,5.936053266785083,0.623772676120499,OK
endo_resection_appendix,Appendiceal endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,2.03888888888889,0.20752766687945096,20.031391301909334,0.5411367322209195,,,binary_coefficient,0.5411367322209195,0.7625108499476593,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.18,0.8888888888888888,,,,,NOT_FITTED
endo_resection_epiploica,Epiploic-appendage endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.0,,,,,,NOT_FITTED
endo_resection_fallopian_tube,Fallopian tube endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,0.4677966101694919,0.10756441064371339,2.0344430576662798,0.3110685855592158,,,binary_coefficient,0.3110685855592158,0.5759981199616601,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.32,1.0,0.2982808168429457,0.08020417035435325,1.1093119634977413,0.07104938441207377,OK
endo_resection_lesion,Other endometriosis lesion resected (unspecified site),BINARY,source,431.0,61.0,370.0,430.0,0.7446078431372549,0.42157384169877,1.315168981612676,0.30960921639941275,,,binary_coefficient,0.30960921639941275,0.5759981199616601,True,OK,none,OK,REVIEW_REQUIRED,False,0.54,1.0,0.6326234443721068,0.3447877591332791,1.1607500897806653,0.1392484508400493,OK
