predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
derived_diabetes_type_grouped,CATEGORICAL,level,pregestational,no_diabetes,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,,,,,8.0,0.0,8.0,8.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
derived_diabetes_type_grouped,CATEGORICAL,level,GDMA1,no_diabetes,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,none,OK,431.0,61.0,370.0,430.0,,,,,39.0,7.0,32.0,39.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
derived_diabetes_type_grouped,CATEGORICAL,level,GDMA2,no_diabetes,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,none,OK,431.0,61.0,370.0,430.0,,,,,18.0,8.0,10.0,18.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
indication_for_induction_status,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
adenomyosis_feature_10,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,10.0,421.0,1.0,60.0,,,,,0.6685185185185182,0.08278251508877399,5.398688468487957,0.7055458380344076,,,,
derived_prior_endo_surgery_procedure_status,CATEGORICAL,source,,no_prior_endo_surgery,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.04308161847022462,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
derived_prior_endo_surgery_procedure_status,CATEGORICAL,level,prior_surgery_no_selected_procedure_documented,no_prior_endo_surgery,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,13.0,5.0,8.0,13.0,3.5887096774193545,1.0974533872945815,11.7352019665746,0.03453258513098009,,,,categorical level-specific contrast vs reference
derived_prior_endo_surgery_procedure_status,CATEGORICAL,level,prior_surgery_with_selected_procedure_documented,no_prior_endo_surgery,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,209.0,25.0,184.0,208.0,0.7801542776998599,0.44212528093700204,1.3766249596121027,0.39154342255956476,,,,categorical level-specific contrast vs reference
any_PET_cat,CATEGORICAL,source,,absent,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.06997491790238637,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
any_PET_cat,CATEGORICAL,level,present,absent,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,10.0,4.0,6.0,10.0,4.166666666666666,1.1346630626952616,15.300675312256823,0.03152978397959321,,,,categorical level-specific contrast vs reference
any_PET_cat,CATEGORICAL,level,not_documented,absent,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,15.0,1.0,14.0,15.0,0.4464285714285713,0.057158014412025324,3.4867983333204298,0.4418889590328351,,,,categorical level-specific contrast vs reference
derived_hypertension_pih_pet_spectrum,CATEGORICAL,source,,no_hypertensive_disorder,,,OK,none,SEE_LEVEL_SUPPORT,416.0,60.0,356.0,415.0,,,,,,,,,,,,,0.028744888749513742,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
derived_hypertension_pih_pet_spectrum,CATEGORICAL,level,pih_gestational_htn,no_hypertensive_disorder,,,OK,none,SPARSE_EXPLORATORY,416.0,60.0,356.0,415.0,,,,,8.0,3.0,5.0,8.0,3.8943396226415063,0.8993534245056188,16.863093732936402,0.06904833582233245,,,,categorical level-specific contrast vs reference
derived_hypertension_pih_pet_spectrum,CATEGORICAL,level,preeclampsia_spectrum,no_hypertensive_disorder,,,OK,none,SPARSE_EXPLORATORY,416.0,60.0,356.0,415.0,,,,,11.0,4.0,7.0,11.0,3.7088948787061966,1.0450559288912997,13.162837357314162,0.04254432374850219,,,,categorical level-specific contrast vs reference
adenomyosis_feature_2,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,6.0,425.0,1.0,60.0,,,,,1.2166666666666668,0.13900188763325844,10.649335796671568,0.8593645128805487,,,,
endometrioma_size_status,CATEGORICAL,source,,no_endometrioma,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.4059050586915042,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
endometrioma_size_status,CATEGORICAL,level,endometrioma_less_than_30mm,no_endometrioma,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,67.0,5.0,62.0,67.0,0.45250896057347684,0.1694395490255926,1.208480313934029,0.11361880142777118,,,,categorical level-specific contrast vs reference
endometrioma_size_status,CATEGORICAL,level,endometrioma_30mm_or_more,no_endometrioma,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,104.0,16.0,88.0,103.0,1.0202020202020203,0.5359754988399901,1.9419025016570903,0.9514373203274288,,,,categorical level-specific contrast vs reference
endometrioma_size_status,CATEGORICAL,level,endometrioma_size_unknown,no_endometrioma,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,22.0,4.0,18.0,22.0,1.2469135802469138,0.3966835981940013,3.919480118872454,0.7056970788035406,,,,categorical level-specific contrast vs reference
severe_PET_cat,CATEGORICAL,source,,absent,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.32306926965701355,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
