predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
endo_resection_epiploica,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,1.0,430.0,0.0,61.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
endo_resection_uterus,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,9.0,422.0,0.0,61.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
SIPET,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,1.0,430.0,0.0,61.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
meconium_stained_amniotic_fluid,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,56.0,375.0,6.0,55.0,,,,,0.6981818181818187,0.285100341468367,1.709776455296724,0.4317394667038543,,,,
gestational_age_at_delivery_days,CONTINUOUS,source,,,Nonlinear spline (df=3),,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.02868381731495916,nonlinear_spline,3.0,Cluster-robust Wald omnibus test of H0: all non-intercept spline coefficients = 0. No single OR is reported for a nonlinear spline representation; no individual spline-basis coefficient is clinically interpreted.
weight_before_pregnancy,CONTINUOUS,source,,,Nonlinear spline (df=3),,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,342.0,48.0,294.0,341.0,,,,,,,,,,,,,0.026697804650147296,nonlinear_spline,3.0,Cluster-robust Wald omnibus test of H0: all non-intercept spline coefficients = 0. No single OR is reported for a nonlinear spline representation; no individual spline-basis coefficient is clinically interpreted.
Hb_before_delivery,CONTINUOUS,source,,,1 g/dL,1.0,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,392.0,55.0,337.0,392.0,,,,,,,,,1.1519487976864848,0.8595294541049883,1.5438517274234698,0.3437408135255068,,linear_one_slope,,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
weight_in_pregnancy,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
BMI_after,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
gestational_age_at_PPROM_days,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
