Variable,Clinical Label,Row type,Level,Reference,Stage,Effect representation / comparison,N,Events,Non-events,Unique subjects,Crude OR,95% CI,Predictor-level raw p,Predictor-level BH q,Level p,In BH family,Fit status,Separation status,Support status,Reason
AGE,Maternal age,source,,,1,linear_one_slope,431.0,61.0,370.0,430.0,1.0880062032289044,1.02600802041668-1.1537507258313942,0.0048372303818095,0.0999694278907299,,True,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
BMI_before,Pre-pregnancy BMI,source,,,1,linear_one_slope,317.0,45.0,272.0,316.0,1.0251492969424345,0.9610134184350436-1.0935654600254694,0.4511299985613934,0.6992514977701598,,True,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
nulliparity,Nulliparity,source,,0,1,,431.0,61.0,370.0,430.0,5.045161290322577,2.482151629493694-10.254672656948593,7.746232074355201e-06,0.000240133194305,,True,OK,none,OK,
S_P_CS,Status post previous cesarean section,source,,0,1,,431.0,61.0,370.0,430.0,1.784461152882205,0.5658554753038315-5.627411494844868,0.3230261064671762,0.5759981199616601,,True,OK,none,SPARSE_EXPLORATORY,
derived_hypertension_pih_pet_spectrum,Hypertensive disease spectrum (PIH/PET),source,,no_hypertensive_disorder,1,,416.0,60.0,356.0,415.0,,,0.0287448887495137,0.1620166456790774,,True,OK,none,SEE_LEVEL_SUPPORT,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
derived_hypertension_pih_pet_spectrum,Hypertensive disease spectrum (PIH/PET),category_subrow,pih_gestational_htn,no_hypertensive_disorder,1,,8.0,3.0,5.0,8.0,3.8943396226415055,0.8993534245056188-16.863093732936402,,,0.0690483358223324,False,OK,none,SPARSE_EXPLORATORY,categorical level-specific contrast vs reference
derived_hypertension_pih_pet_spectrum,Hypertensive disease spectrum (PIH/PET),category_subrow,preeclampsia_spectrum,no_hypertensive_disorder,1,,11.0,4.0,7.0,11.0,3.7088948787061966,1.0450559288912995-13.162837357314162,,,0.0425443237485021,False,OK,none,SPARSE_EXPLORATORY,categorical level-specific contrast vs reference
induction_any_bin,Labor induction (any),source,,0,3,,431.0,61.0,370.0,430.0,5.0928085519922295,2.70336246049896-9.594236557704528,4.713731431367744e-07,2.9225134874480012e-05,,True,OK,none,OK,
