exposure,exposure_class,primary_fit_status,primary_or,primary_ci_low,primary_ci_high,primary_p,sensitivity_fit_status,sensitivity_or,sensitivity_ci_low,sensitivity_ci_high,sensitivity_p,log_or_diff,direction_consistent,estimability_changed,notes
adenomyosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,1.0856414759242976,0.5969699627048402,1.9743328607470167,0.7877054704500397,OK,1.1189838773408551,0.6130015342284437,2.042613024329156,0.7142669888551518,0.030249986790674088,True,False,
adenomyosis_feature_1,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,1.2165291108515264,0.5593952998221157,2.6456122853013215,0.6209721084043451,OK,1.1722282986611061,0.5326281084627388,2.5798848433813757,0.6929740362549155,-0.037095346696127435,True,False,
adenomyosis_feature_10,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.5565967267860559,0.05916720971650418,5.23600686517646,0.6084210578254221,OK,0.6275036931459171,0.06761674131892036,5.823422975303664,0.6818329761023392,0.11990858813495042,True,False,
adenomyosis_feature_2,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,1.4485868781433022,0.1962703431755966,10.691395906163907,0.716321882872087,OK,1.756834178284497,0.22961304130000404,13.442034095772017,0.5872888913970424,0.1929249125603461,True,False,
adenomyosis_feature_3,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,1.1173744115885658,0.45437262201379625,2.7478010671932256,0.8089835885084146,OK,1.145709011702913,0.46901206536677914,2.798753457377991,0.7653249231406495,0.025042011736526676,True,False,
adenomyosis_feature_4,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.2522795455879837,0.05491532983995177,1.1589654347441767,0.0766727885431994,OK,0.2666376830708653,0.05763325317260665,1.233587384360793,0.09076846565846841,0.05535296403564316,True,False,
adenomyosis_feature_5,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.2558535676428113,0.037555121933422524,1.743065784518115,0.16380224454361159,OK,0.28601168483003464,0.0413407702737151,1.978741163207742,0.20465275835266128,0.11142738660525353,True,False,
adenomyosis_features_unknown,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,0.8549401275408944,0.3235345332143119,2.259179613433944,0.7519183095555902,OK,0.8580754358932933,0.3210705288560562,2.2932452140867894,0.7602313724005711,0.0036605760278779764,True,False,
bladder_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,1.2347941169563368,0.2846379423087244,5.3566875129255935,0.7781806339230645,OK,1.2826128946996371,0.28841696349917556,5.703880304718918,0.7437343783325148,0.03799507198002902,True,False,
bowel_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,1.0026522815190166,0.37962835602315975,2.6481467511187673,0.9957350231032143,OK,1.1006415543911048,0.4155634518531452,2.915106768534026,0.8469889191560712,0.09324447062842554,True,False,
cs_scar_endometriosis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,5.615573411297285,1.6408845161938406,19.218089040669437,0.00597942745330024,OK,6.112720214232169,1.894676640292753,19.721227159748555,0.0024513997485735603,0.0848281767086847,True,False,
deep_endometriosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,0.7379605016917524,0.40351825021607113,1.3495937340269857,0.3238509700872432,OK,0.7737659619738576,0.41899212238355404,1.4289379965030804,0.41249425175558674,0.04737915072919496,True,False,
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,,,,0.30344850599153933,OK,,,,0.4001709611242199,,,False,categorical multi-level source: log-OR difference not applicable; compare omnibus p only.
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,,,,0.07841231951896321,OK,,,,0.13989095058877127,,,False,categorical multi-level source: log-OR difference not applicable; compare omnibus p only.
