exposure,exposure_class,row_type,level,reference_level,model_variant,comparison,n,events,non_events,unique_subject_groups,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,fit_status,separation_status,support_status,caution_flag,caution_reason,notes,bh_q,in_bh_family,missingness_loss_n,missingness_loss_pct
adenomyosis_feature_6,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=4, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_6,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=4, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_7,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, that 1 row is an event (zero non-event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_7,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, that 1 row is an event (zero non-event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_8,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_8,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_9,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Ultra-rare exposed group (4 unique subjects) -- not scientifically reliable regardless of convergence.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_9,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Ultra-rare exposed group (4 unique subjects) -- not scientifically reliable regardless of convergence.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_features_unknown,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.8549401275408944,0.3235345332143119,2.259179613433944,0.7519183095555902,OK,none,OK,False,,,0.8413429320487512,True,0,0.0
adenomyosis_features_unknown,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.8580754358932933,0.3210705288560562,2.2932452140867894,0.7602313724005711,OK,none,OK,False,,,,False,0,0.0
bladder_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,1.2347941169563368,0.2846379423087244,5.3566875129255935,0.7781806339230645,OK,none,SPARSE_EXPLORATORY,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,0.8413429320487512,True,0,0.0
bladder_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,1.2826128946996371,0.28841696349917556,5.703880304718918,0.7437343783325148,OK,none,SPARSE_EXPLORATORY,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,,False,0,0.0
