encoded_column,source_predictor,coefficient_standardized_scale
num__AGE,AGE,0.5413620111272536
num__nulliparity,nulliparity,0.8896415592232587
num__S_P_CS,S_P_CS,0.4421720605307851
num__induction_any_bin,induction_any_bin,0.7931343040994873
cat__derived_hypertension_pih_pet_spectrum_no_hypertensive_disorder,derived_hypertension_pih_pet_spectrum,-0.331996416808403
cat__derived_hypertension_pih_pet_spectrum_pih_gestational_htn,derived_hypertension_pih_pet_spectrum,0.13519819023622348
cat__derived_hypertension_pih_pet_spectrum_preeclampsia_spectrum,derived_hypertension_pih_pet_spectrum,0.19358787016657816
bmi_before_recompute__BMI_before,BMI_before,-0.028169779116340315
