repeat,fold,status,reason,chosen_C,n_active_sources,intercept,l2_coef_norm,outer_pr_auc,outer_auroc,outer_brier,outer_brier_skill,outer_logloss,outer_calibration_intercept,outer_calibration_slope,outer_prevalence,outer_train_prevalence
1,1,OK,,0.1778279410038923,6,-1.965550575337793,1.1900932231968617,0.4224867724867725,0.8704954954954953,0.09559971452495006,0.20380759224112643,0.3051128252322371,0.6656861955194724,1.6282453033969713,0.13953488372093023,0.14202898550724638
1,2,OK,,0.1,6,-2.0251155732640256,1.035410099678777,0.5463390222901092,0.8333333333333333,0.09694429310982203,0.19260940753702016,0.32010944300824246,0.708230573198559,1.7187595830699536,0.13953488372093023,0.14202898550724638
1,3,OK,,0.31622776601683794,6,-1.994244108662026,1.5586531750545611,0.2541769755585545,0.7488738738738738,0.1171240349851395,0.024544499064219738,0.3666609846495679,-0.23830382059363292,0.7210178159779699,0.13953488372093023,0.14202898550724638
1,4,OK,,0.1778279410038923,6,-2.1589478237778685,1.20655584840101,0.42679395392852015,0.841995841995842,0.10493528500163568,0.1750058769748245,0.3305772468173154,0.773023542829787,1.451843487623393,0.14942528735632185,0.13953488372093023
1,5,OK,,0.1778279410038923,6,-1.9668521941619095,1.2726377631817578,0.3583514730315764,0.786036036036036,0.10698030427769467,0.10902551886381662,0.33669405269235136,0.08399475980414688,1.0278362498898241,0.13953488372093023,0.14202898550724638
2,1,OK,,0.1778279410038923,6,-2.0053852098245555,1.2708438225409413,0.372513938303412,0.7661122661122661,0.11345986831720006,0.10798617872490357,0.3595950662157774,0.09695185125762215,1.0407669014083865,0.14942528735632185,0.13953488372093023
2,2,OK,,0.1778279410038923,6,-2.1587757346451593,1.2306432494199266,0.42956857176499674,0.7668918918918918,0.106239200412357,0.11519772632149261,0.34487390896216397,0.01220162105533877,1.0734826088911276,0.13953488372093023,0.14202898550724638
2,3,OK,,0.1,6,-1.938423922439521,0.99705652976819,0.5825237262737263,0.8795045045045045,0.09375225318128076,0.21919398437385196,0.30576029760169854,1.62814263324183,2.1849379017848016,0.13953488372093023,0.14202898550724638
2,4,OK,,0.1778279410038923,6,-2.038854447580609,1.3477983771291873,0.23361062989600728,0.7094594594594594,0.12409571919822653,-0.033518457162533766,0.3866916165117978,-0.7126545408041768,0.5851242701867451,0.13953488372093023,0.14202898550724638
2,5,OK,,0.1778279410038923,6,-2.018384846281424,1.2903133837835816,0.4602505464112607,0.822072072072072,0.09989141506265022,0.1680646049166219,0.3186877839787502,0.4125238830944046,1.167329075631622,0.13953488372093023,0.14202898550724638
3,1,OK,,0.1,6,-2.055277315497438,1.0960573156265752,0.33174007862642163,0.7454954954954955,0.10883584203318859,0.09357186316436739,0.3531480071255039,0.4022499293413509,1.253806711674395,0.13953488372093023,0.14202898550724638
3,2,OK,,0.1,6,-1.887244482384535,1.0372204620535739,0.5407357497147044,0.8581081081081081,0.0964831128643187,0.19645029986502283,0.31086773471367296,1.3324533798756317,1.7268574364500966,0.13953488372093023,0.14202898550724638
3,3,OK,,0.1778279410038923,6,-1.8601745653160058,1.164161539091392,0.44376967637837206,0.8986486486486486,0.09063248062173462,0.24517668984727492,0.2876550809353301,1.1884643393734653,2.16685085766076,0.13953488372093023,0.14202898550724638
3,4,OK,,0.1778279410038923,6,-2.2572212006859886,1.271742043318782,0.3005018511376478,0.7515592515592515,0.11845469182973468,0.06871721363537442,0.37342273752292604,0.05208210596293044,0.9015806639585258,0.14942528735632185,0.13953488372093023
3,5,OK,,0.31622776601683794,6,-2.049555496979673,1.5130168586084483,0.35527367538129534,0.7657657657657657,0.1164321042107244,0.030307173482460148,0.3631628013883874,-0.6000346415550012,0.712137913146379,0.13953488372093023,0.14202898550724638
4,1,OK,,0.31622776601683794,6,-1.9729854646299405,1.4359400785088359,0.4023859667616265,0.8355855855855856,0.10467292940710514,0.12824225358887198,0.32369870318876937,0.254038264818861,1.0455594239018355,0.13953488372093023,0.14202898550724638
4,2,OK,,0.1778279410038923,6,-2.2179145056089133,1.2060077810906795,0.5372701352534299,0.8284823284823285,0.10178366670268742,0.1997836871709887,0.3255517517642604,0.613679418877856,1.441224385875885,0.14942528735632185,0.13953488372093023
4,3,OK,,0.1778279410038923,6,-1.9861345099717416,1.2871982627988823,0.32459257228278965,0.7916666666666666,0.10878017900937831,0.09403544694357502,0.34379174344683855,-0.002216286388445899,0.9866139041553919,0.13953488372093023,0.14202898550724638
4,4,OK,,0.1778279410038923,6,-2.025332293153998,1.2584760334311968,0.31252407694158557,0.7984234234234233,0.10743781291996135,0.10521520510642846,0.336571757044192,0.1495603181955125,1.144461303302168,0.13953488372093023,0.14202898550724638
4,5,OK,,0.1778279410038923,6,-1.9466520353391616,1.2293181405951052,0.4799694651437972,0.8277027027027026,0.09878700845657329,0.17726254195238267,0.3210540544829534,0.3703512072673149,1.4072888261267251,0.13953488372093023,0.14202898550724638
5,1,OK,,0.1778279410038923,6,-2.0621014688713077,1.174658167840792,0.3507307770554972,0.8014553014553014,0.10974698797507862,0.13717659319509967,0.3461627286440957,0.4955743769545044,1.3384259706714154,0.14942528735632185,0.13953488372093023
5,2,OK,,0.1778279410038923,6,-2.02420641774561,1.239806295574875,0.32519951206307046,0.8079954954954955,0.10537266273061326,0.12241459644155228,0.33189973626046543,0.32127426695087846,1.2667727726626927,0.13953488372093023,0.14202898550724638
5,3,OK,,0.1778279410038923,6,-1.9908209562548047,1.2374234190715905,0.37001132077150284,0.8018018018018018,0.10419183728149113,0.1322489799661405,0.33405286610611284,0.1101629474539986,1.1066869015221634,0.13953488372093023,0.14202898550724638
5,4,OK,,0.31622776601683794,6,-2.186253418015489,1.5075410455814242,0.40034390815760096,0.7443693693693694,0.10856465741926774,0.09583039638047286,0.3537638175535653,-0.323510888142229,0.7998758981783886,0.13953488372093023,0.14202898550724638
5,5,OK,,0.1778279410038923,6,-1.9709797268147866,1.278525176814383,0.39839065581204064,0.8108108108108107,0.1038163189330635,0.13537644597875287,0.3289901838356778,0.11086014189036186,0.9911309493385015,0.13953488372093023,0.14202898550724638
6,1,OK,,0.1,6,-1.9681490237664256,1.0890401337350044,0.2663952347775877,0.7573198198198198,0.11379996177156128,0.052228701560398605,0.3600750757434399,-0.08169127615675917,0.9990983535027917,0.13953488372093023,0.14202898550724638
6,2,OK,,0.1778279410038923,6,-1.984363105505875,1.2183965715013545,0.40108059581743793,0.8024948024948025,0.10821046643926271,0.1492566217282092,0.3460065684798251,0.4387158037346488,1.124944011721694,0.14942528735632185,0.13953488372093023
6,3,OK,,0.1778279410038923,6,-2.215912626771496,1.250022756761701,0.40717882669637057,0.8051801801801802,0.10280994841431577,0.1437578995259826,0.3304947810532032,0.15394949832551486,1.1821452402226202,0.13953488372093023,0.14202898550724638
6,4,OK,,0.1,6,-1.9991049307567967,1.0920583320594675,0.3182108970605348,0.7387387387387387,0.11017597158962134,0.08241073173686153,0.35871715259786996,0.027702663034826214,1.0117366782825887,0.13953488372093023,0.14202898550724638
6,5,OK,,0.5623413251903491,6,-1.9127230188226771,1.6466363577073524,0.4101957461592976,0.8141891891891893,0.10114757500995145,0.15760280575810037,0.3146601404541082,-0.16409655229799727,0.974439968603256,0.13953488372093023,0.14202898550724638
