variable,predictor_classification,original_or_derived,source_columns,domain,timing,timing_raw,missing_%,raw_missing_pct,primary_missing_pct_for_modeling,effective_missing_pct_for_exclusion,structural_applicability_status,applicability_aware_missing_pct_sensitivity,structural_applicability_applicable_n,structural_applicability_genuine_missing_applicable_n,model_entry_mode,redundant_with,event_count_info,min_cell_count,p_value,fdr_q_value,effect_size,effect_size_type,test_status,test,included_in_bh,bh_family_n,effect_contrast,effect_estimate_status,target0_n,target1_n,redundancy_flag,high_target_association_review,impossible_flag,separation_flag,too_sparse_flag,clinical_priority_tier,primary_model_eligible,candidate_role_for_modeling_review,reason,priority_score,data_type,non_missing_count,n_unique,zero_variance_flag,hard_exclusion_reason,eligibility_status,rare_feature_flag,timing_uncertain,meets_quality_bar,redundancy_group,redundancy_demoted,redundancy_unresolved,redundancy_unresolved_group,soft_warning_flags,review_reason,physical_variable_type,physical_n_categories,model_representation_type,model_preprocessing_contract_id,hard_forbidden_with,relationship_groups,relationship_review_required,earliest_entry_stage,fold_safe_requirement,downstream_preprocessing_requirement
HELLP,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
IUFD,predictor_allowed,original,—,fetal_placental,timing_unknown,unclear,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,review,horizon_specific_review,timing or eligibility requires clinical review,0.0,binary,431,1,True,zero_variance,hard_excluded,True,True,False,—,False,False,—,rare_feature; timing_uncertain; weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
alcohol,predictor_allowed,original,—,demographics,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
eclampsia,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
