source_predictor,encoded_level,ridge_coefficient_standardized_scale,direction,outer_fold_median_coefficient,outer_fold_coefficient_iqr,outer_fold_sign_consistency,n_outer_folds,stability_flag
AGE,,0.5414,positive,0.479,0.0854,1.0,50.0,stable
nulliparity,,0.8896,positive,0.7391,0.1425,1.0,50.0,stable
S_P_CS,,0.4422,positive,0.3439,0.1386,1.0,50.0,stable
induction_any_bin,,0.7931,positive,0.7075,0.0914,1.0,50.0,stable
derived_hypertension_pih_pet_spectrum,no_hypertensive_disorder,-0.332,negative,,,,,not available (categorical level; stability tracked at the source-predictor level only)
derived_hypertension_pih_pet_spectrum,pih_gestational_htn,0.1352,positive,,,,,not available (categorical level; stability tracked at the source-predictor level only)
derived_hypertension_pih_pet_spectrum,preeclampsia_spectrum,0.1936,positive,,,,,not available (categorical level; stability tracked at the source-predictor level only)
BMI_before,,-0.0282,negative,-0.0152,0.0981,0.54,50.0,UNSTABLE (directional sign flips across outer folds)
